Order Date,Order ID,Product,Purchase Address,Quantity Ordered,Price Each,Cost price
2019-06-16 18:19:00,213713,Bose SoundSport Headphones,"659 Lincoln St, San Francisco, CA 94016",1,99.99,49.995
2019-03-05 05:03:00,170244,Wired Headphones,"21 Dogwood St, Atlanta, GA 30301",1,11.99,5.995
2019-07-23 19:36:00,224361,Wired Headphones,"612 12th St, Boston, MA 02215",1,11.99,5.995
2019-12-05 22:12:00,302019,27in 4K Gaming Monitor,"997 Park St, New York City, NY 10001",1,389.99,128.6967
2019-04-12 18:05:00,180767,iPhone,"456 North St, San Francisco, CA 94016",1,700,231
2019-05-08 14:52:00,208781,USB-C Charging Cable,"845 Dogwood St, Austin, TX 73301",1,11.95,5.975
2019-04-02 14:32:00,185143,Lightning Charging Cable,"886 Lakeview St, New York City, NY 10001",1,14.95,7.475
2019-09-19 15:34:00,256359,Apple Airpods Headphones,"899 Jefferson St, Seattle, WA 98101",1,150,97.5
2019-12-23 13:31:00,296137,Wired Headphones,"502 Forest St, Dallas, TX 75001",1,11.99,5.995
2019-10-22 19:40:00,265632,27in FHD Monitor,"702 Hickory St, New York City, NY 10001",1,149.99,97.4935
2019-07-15 18:34:00,232482,AAA Batteries (4-pack),"225 South St, San Francisco, CA 94016",1,2.99,1.495
2019-06-04 15:09:00,215633,Apple Airpods Headphones,"597 Forest St, Dallas, TX 75001",1,150,97.5
2019-03-24 14:19:00,162883,USB-C Charging Cable,"349 Walnut St, New York City, NY 10001",1,11.95,5.975
2019-04-14 08:22:00,188447,AA Batteries (4-pack),"447 7th St, San Francisco, CA 94016",1,3.84,1.92
2019-03-20 12:18:00,164116,iPhone,"607 Spruce St, New York City, NY 10001",1,700,231
2019-02-25 21:06:00,158044,Bose SoundSport Headphones,"780 Meadow St, Los Angeles, CA 90001",1,99.99,49.995
2019-10-21 08:27:00,274486,Wired Headphones,"274 11th St, Boston, MA 02215",2,11.99,5.995
2019-09-22 13:19:00,256219,AA Batteries (4-pack),"548 11th St, Portland, OR 97035",1,3.84,1.92
2019-02-13 10:50:00,161415,Lightning Charging Cable,"812 Lakeview St, Dallas, TX 75001",1,14.95,7.475
2019-07-08 19:03:00,226839,Bose SoundSport Headphones,"362 10th St, Austin, TX 73301",1,99.99,49.995
2019-02-06 09:41:00,156244,27in 4K Gaming Monitor,"138 10th St, Los Angeles, CA 90001",1,389.99,128.6967
2019-08-09 10:23:00,247652,27in FHD Monitor,"858 Dogwood St, Portland, OR 97035",1,149.99,97.4935
2019-06-25 17:58:00,210138,27in 4K Gaming Monitor,"445 Wilson St, San Francisco, CA 94016",1,389.99,128.6967
2019-01-03 10:44:00,147343,Apple Airpods Headphones,"491 Park St, Atlanta, GA 30301",1,150,97.5
2019-12-14 02:20:00,314838,Apple Airpods Headphones,"595 Washington St, Los Angeles, CA 90001",1,150,97.5
2019-03-19 18:33:00,170613,AA Batteries (4-pack),"858 14th St, Dallas, TX 75001",1,3.84,1.92
2019-07-11 12:31:00,224661,Lightning Charging Cable,"723 Walnut St, San Francisco, CA 94016",1,14.95,7.475
2019-12-06 17:18:00,300416,AAA Batteries (4-pack),"767 Sunset St, Dallas, TX 75001",1,2.99,1.495
2019-04-14 17:32:00,185227,Google Phone,"16 Dogwood St, Atlanta, GA 30301",1,600,198
2019-10-24 10:00:00,267367,iPhone,"114 South St, Los Angeles, CA 90001",1,700,231
2019-10-24 19:44:00,275082,27in FHD Monitor,"109 Willow St, San Francisco, CA 94016",1,149.99,97.4935
2019-09-11 14:56:00,256011,Bose SoundSport Headphones,"912 Center St, Los Angeles, CA 90001",1,99.99,49.995
2019-05-15 12:53:00,202011,Google Phone,"653 2nd St, Dallas, TX 75001",1,600,198
2019-07-07 05:40:00,234814,AAA Batteries (4-pack),"735 Walnut St, San Francisco, CA 94016",1,2.99,1.495
2019-03-09 05:58:00,162982,Lightning Charging Cable,"605 Main St, Portland, OR 97035",1,14.95,7.475
2019-10-17 00:59:00,268502,Macbook Pro Laptop,"443 5th St, San Francisco, CA 94016",1,1700,561
2019-11-14 14:57:00,288335,Lightning Charging Cable,"563 Dogwood St, San Francisco, CA 94016",1,14.95,7.475
2019-05-14 16:20:00,200650,AAA Batteries (4-pack),"890 Maple St, New York City, NY 10001",2,2.99,1.495
2019-04-26 14:26:00,185913,AA Batteries (4-pack),"185 Adams St, Dallas, TX 75001",2,3.84,1.92
2019-07-03 11:38:00,233493,Flatscreen TV,"336 Madison St, San Francisco, CA 94016",1,300,99
2019-04-20 14:16:00,185670,AAA Batteries (4-pack),"955 Washington St, Los Angeles, CA 90001",1,2.99,1.495
2019-10-25 22:00:00,266624,ThinkPad Laptop,"616 Jackson St, New York City, NY 10001",1,999.99,329.9967
2019-04-12 06:16:00,183122,Google Phone,"1 Adams St, Austin, TX 73301",1,600,198
2019-10-14 12:17:00,271831,Wired Headphones,"645 Lakeview St, Boston, MA 02215",1,11.99,5.995
2019-11-27 19:48:00,285965,Wired Headphones,"902 Meadow St, New York City, NY 10001",2,11.99,5.995
2019-10-01 13:28:00,273917,27in 4K Gaming Monitor,"556 Forest St, San Francisco, CA 94016",1,389.99,128.6967
2019-11-23 11:29:00,284794,Lightning Charging Cable,"297 Hickory St, San Francisco, CA 94016",1,14.95,7.475
2019-09-14 20:55:00,252100,20in Monitor,"583 Park St, Austin, TX 73301",1,109.99,71.4935
2019-05-19 14:53:00,202339,Apple Airpods Headphones,"935 Center St, New York City, NY 10001",1,150,97.5
2019-10-04 20:23:00,273740,USB-C Charging Cable,"40 Church St, Boston, MA 02215",1,11.95,5.975
2019-11-09 18:28:00,288011,Google Phone,"419 Highland St, San Francisco, CA 94016",1,600,198
2019-12-12 17:13:00,318752,Apple Airpods Headphones,"931 7th St, Austin, TX 73301",1,150,97.5
2019-02-21 18:22:00,151397,Macbook Pro Laptop,"802 Chestnut St, Atlanta, GA 30301",1,1700,561
2019-04-15 08:21:00,185302,Lightning Charging Cable,"352 Washington St, Dallas, TX 75001",1,14.95,7.475
2019-11-26 15:07:00,287317,AA Batteries (4-pack),"389 Meadow St, Los Angeles, CA 90001",1,3.84,1.92
2019-04-17 14:16:00,183033,USB-C Charging Cable,"216 Center St, Boston, MA 02215",1,11.95,5.975
2019-06-12 09:09:00,214537,Bose SoundSport Headphones,"703 12th St, San Francisco, CA 94016",1,99.99,49.995
2019-01-09 11:52:00,142586,Wired Headphones,"759 Johnson St, San Francisco, CA 94016",1,11.99,5.995
2019-04-05 10:17:00,180854,Bose SoundSport Headphones,"487 Elm St, Boston, MA 02215",1,99.99,49.995
2019-10-22 11:30:00,271641,USB-C Charging Cable,"827 Park St, Los Angeles, CA 90001",1,11.95,5.975
2019-10-20 10:03:00,268082,Flatscreen TV,"554 South St, Dallas, TX 75001",1,300,99
2019-08-30 09:14:00,244428,USB-C Charging Cable,"5 5th St, Portland, ME 04101",2,11.95,5.975
2019-02-15 18:59:00,155776,Wired Headphones,"807 12th St, San Francisco, CA 94016",1,11.99,5.995
2019-10-13 16:51:00,276024,Lightning Charging Cable,"750 Cedar St, Dallas, TX 75001",1,14.95,7.475
2019-04-19 10:09:00,189999,Bose SoundSport Headphones,"945 8th St, San Francisco, CA 94016",1,99.99,49.995
2019-04-16 11:23:00,193782,USB-C Charging Cable,"978 Dogwood St, Austin, TX 73301",1,11.95,5.975
2019-05-29 22:12:00,195676,Apple Airpods Headphones,"809 9th St, Seattle, WA 98101",1,150,97.5
2019-09-22 22:36:00,255457,Bose SoundSport Headphones,"944 Spruce St, Los Angeles, CA 90001",1,99.99,49.995
2019-10-14 09:36:00,275092,Lightning Charging Cable,"971 Highland St, Seattle, WA 98101",1,14.95,7.475
2019-12-16 14:13:00,307662,27in FHD Monitor,"65 10th St, Los Angeles, CA 90001",1,149.99,97.4935
2019-10-18 23:11:00,274639,ThinkPad Laptop,"223 5th St, Atlanta, GA 30301",1,999.99,329.9967
2019-03-15 16:50:00,162590,27in FHD Monitor,"611 Washington St, Boston, MA 02215",1,149.99,97.4935
2019-12-02 10:07:00,317186,USB-C Charging Cable,"684 South St, Dallas, TX 75001",1,11.95,5.975
2019-10-18 12:25:00,265465,Bose SoundSport Headphones,"220 West St, Seattle, WA 98101",1,99.99,49.995
2019-09-22 15:42:00,252541,34in Ultrawide Monitor,"341 12th St, Los Angeles, CA 90001",1,379.99,125.3967
2019-11-03 12:28:00,289862,USB-C Charging Cable,"336 North St, Los Angeles, CA 90001",1,11.95,5.975
2019-11-26 11:56:00,288857,Google Phone,"863 Meadow St, Atlanta, GA 30301",1,600,198
2019-05-13 16:56:00,209612,Google Phone,"706 Hickory St, Los Angeles, CA 90001",1,600,198
2019-03-14 18:35:00,170868,ThinkPad Laptop,"331 Sunset St, San Francisco, CA 94016",1,999.99,329.9967
2019-05-15 10:06:00,203598,27in FHD Monitor,"152 Center St, Dallas, TX 75001",1,149.99,97.4935
2019-02-28 13:04:00,155735,AA Batteries (4-pack),"969 9th St, Los Angeles, CA 90001",2,3.84,1.92
2019-04-30 22:44:00,190503,Lightning Charging Cable,"474 Cherry St, Los Angeles, CA 90001",1,14.95,7.475
2019-01-11 19:00:00,141771,Lightning Charging Cable,"564 13th St, San Francisco, CA 94016",1,14.95,7.475
2019-04-18 13:01:00,176751,AAA Batteries (4-pack),"258 4th St, San Francisco, CA 94016",1,2.99,1.495
2019-03-11 21:03:00,172599,27in FHD Monitor,"453 Cherry St, San Francisco, CA 94016",1,149.99,97.4935
2019-08-04 14:30:00,241691,Wired Headphones,"139 8th St, Boston, MA 02215",1,11.99,5.995
2019-10-05 04:53:00,259422,USB-C Charging Cable,"849 Ridge St, San Francisco, CA 94016",1,11.95,5.975
2019-12-16 05:11:00,312664,USB-C Charging Cable,"361 Main St, San Francisco, CA 94016",2,11.95,5.975
2019-02-04 21:54:00,152460,Vareebadd Phone,"363 Madison St, Atlanta, GA 30301",1,400,132
2019-05-02 18:49:00,209186,USB-C Charging Cable,"394 10th St, Los Angeles, CA 90001",1,11.95,5.975
2019-10-27 15:25:00,273147,USB-C Charging Cable,"937 Pine St, San Francisco, CA 94016",1,11.95,5.975
2019-11-24 12:39:00,281034,Google Phone,"62 13th St, Boston, MA 02215",1,600,198
2019-02-12 10:04:00,154367,Macbook Pro Laptop,"74 Highland St, San Francisco, CA 94016",1,1700,561
2019-04-19 20:27:00,187918,Bose SoundSport Headphones,"912 Maple St, Los Angeles, CA 90001",1,99.99,49.995
2019-12-31 15:33:00,309955,USB-C Charging Cable,"824 Sunset St, Portland, OR 97035",1,11.95,5.975
